Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",82.960000,-132.950000,-90.000000,top
"C2","0.1uF","C_0805_2012Metric",104.500000,-136.950000,-90.000000,top
"J1","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",124.000000,-127.840000,0.000000,top
"J2","JST_XH_FEMALE","PinHeader_1x10_P2.00mm_Vertical",100.500000,-145.000000,-90.000000,top
"J3","JST_XH_FEMALE_1","PinHeader_1x10_P2.00mm_Vertical",123.500000,-145.000000,-90.000000,top
"R1","10k","R_0805_2012Metric",118.500000,-117.000000,-90.000000,top
"R2","10k","R_0805_2012Metric",115.500000,-117.000000,-90.000000,top
"R3","10k","R_0805_2012Metric",112.500000,-117.000000,-90.000000,top
"R4","10k","R_0805_2012Metric",109.500000,-117.000000,-90.000000,top
"R5","10k","R_0805_2012Metric",121.500000,-117.000000,-90.000000,top
"R6","10k","R_0805_2012Metric",124.500000,-117.000000,-90.000000,top
"R7","10k","R_0805_2012Metric",114.498315,-124.830109,0.000000,top
"R8","1k","R_0805_2012Metric",114.500000,-121.000000,-90.000000,top
"R9","1k","R_0805_2012Metric",111.500000,-121.000000,-90.000000,top
"U1","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm",90.420000,-136.650000,-90.000000,top
"U2","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm",111.920000,-136.650000,-90.000000,top
"U3","PCA9685PW","TSSOP-28_4.4x9.7mm_P0.65mm",101.637500,-125.775000,0.000000,top
